Word,Cluster,X,Y,new_cluster
둠칫둠칫,5,-13.977104,-0.24661298,3
로맨틱,18,-22.115011,0.106853426,1
올드,18,-25.222383,0.23182328,1
하이라이트,18,-24.7806,0.2157438,1
시,9,-21.86436,0.11603659,2
영감,0,-4.946323,-0.8650509,6
상담소,2,-30.146667,-0.16528334,0
애니메이션,9,-18.893452,-0.15543637,2
고민,2,-30.104317,-0.1412948,0
월드,9,-19.911758,-0.28814322,2
업,2,-27.661392,0.31705195,0
지브리,2,-30.924862,0.20080648,0
연시,9,-19.843002,0.3821281,2
스트릿,12,-9.3137,-0.44373694,5
적,9,-19.21859,0.11000047,2
순,18,-22.236277,0.117184564,1
직,2,-29.945187,0.84330875,0
디깅,18,-26.225628,0.26866502,1
브이,5,-15.808438,-0.27980918,3
우먼,12,-9.948969,-0.45700306,5
트레블리스트,2,-30.85698,0.09252476,0
브이로그,18,-24.172691,0.1925239,1
여,2,-28.581417,0.33541748,0
신나,18,-26.432186,0.27581152,1
포크라노스,2,-30.655697,1.0061734,0
요가,2,-27.296537,0.306779,0
음악회,2,-30.0682,0.775568,0
파이터,5,-15.6902,-0.22351152,3
초,2,-30.539175,0.4205087,0
팝탑백,18,-23.886944,0.18123788,1
파이,18,-23.126554,0.15252179,1
지니뮤직,2,-30.163017,-0.090789385,0
루프탑,18,-24.51771,0.20506223,1
태,9,-20.547453,0.23600395,2
토요,9,-20.736927,0.18398248,2
이,18,-24.149038,0.1919391,1
트랜드,9,-17.77489,-0.07318088,2
상,2,-29.990948,0.76382715,0
지적,2,-30.876423,0.72594655,0
카리스마스우파,2,-30.395874,-0.24436145,0
마복,2,-27.922937,0.3306844,0
필,2,-28.055086,0.32646108,0
달,2,-29.938784,0.26143405,0
