Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
시청 앞 지하철 역에서,곽진언,"응답하라 제작진의 웰메이드 시리즈, 슬기로운 의사생활 1,2 OST","OST, TVN, 슬기로운의사생활시즌2, 슬기로운의사생활2, 슬기로운의사생활, 일상, 슬의생, 90년대","[16, 16, 14, 11, 11, 11, 2, 7, 1, 3, 2, 0]",7.833333333333333,5.785518319236594
"시한부 (Feat. Leellamarz, 로꼬)",TOIL,둠칫한 감성 힙합 TOP100,"감성, 힙합, 탑백, TOP100, 인기, 차트","[16, 17, 16, 16, 16, 16, 14, 14, 8]",14.777777777777779,2.57240820062005
신용재,하은 (포맨),○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"비오는날, 회상, 2030, 새벽에, 벅차오르는, 이별","[17, 13, 14, 13, 7, 1, 0]",9.285714285714286,6.204014500173847
신청곡 (Feat. SUGA of BTS),이소라,혼자 듣고 싶은 새벽 감성 노래들,"비, 40대, 장마, 새벽, TOP100, 가요, 인기, 오늘의선곡, 힘들때, 발라드, 탑백, 잔잔한, 감성, 위로, 드라이브, 2010년대","[17, 15, 15, 16, 11, 14, 15, 17, 16, 14, 16, 13, 9, 9, 14, 8, 3, 2, 1, 2, 2, 1]",10.454545454545455,5.81320810136297
신호등,이무진,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"설거지, 여행, 좋아요10만, 휴가, 드라이브, 도입부, 추억, TOP100, 회상, 탑백","[17, 15, 16, 17, 15, 13, 16, 15, 9, 13, 8, 0, 1, 0]",11.071428571428571,6.169791449523415
실연,코요태,가벼운 산책에 어울리는 탑골가요,"여름, 추억, 이별, 탑백, 밝은, 달리기, 운동, 헬스, 회상, 노동요, 댄스, 여행, TOP100, 가요, 시원한, 스트레스, 가을, 걷기","[15, 16, 14, 18, 16, 14, 13, 17, 13, 17, 14, 16, 7, 14, 13, 11, 7, 14, 8, 0, 2, 0, 1, 0, 0]",10.4,6.216108107168021
실종 (Rap. 마지),황도혜,추억이 새록새록 떠오르는 싸이월드 BGM,"30대, 싸이월드, 추억, 20대","[15, 2, 2, 1]",5.0,5.787918451395113
심술,볼빨간사춘기,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"추억, TOP100, 인기, 차트","[15, 16, 16, 14]",15.25,0.82915619758885
"심신 안정에 도움을 주는 숲소리 (휴식, 힐링, 명상, 자연, ASMR)",ASMR 자장가 (ASMR Lullaby),봄비의 푸르름을 담은 ASMR 사운드,"스트레스/짜증, 방해금지모드, 일/공부, 기타, 시원한, 2020년대","[17, 19, 16, 12, 14, 14, 15, 11, 14, 2, 3, 2]",11.583333333333334,5.707572942055921
심야버스,mushmushme,"나만 알고 싶었는데, 너를 위해 공개! 숨은 띵곡 모음","출/퇴근길, 편안한, 가요, 2010년대, 그루브한","[15, 15, 15, 14, 16, 15, 6, 2]",12.25,4.892596447695231
심장이 없어,에이트,추억이 새록새록 떠오르는 싸이월드 BGM,"감성, 2000년대, 30대, 도토리페스티벌, 발라드, 20대, 신나는, 명곡, OST, 토요태, 미니홈피, 싸이월드, 스트레스, 겨울, 놀면뭐하니","[18, 16, 11, 17, 14, 17, 9, 6, 6, 6, 2, 6, 3, 2, 2, 1, 2, 2, 1]",7.421052631578948,6.002769443950843
심쿵해 (Heart Attack),AOA,기분 좋은 여행길을 위한 가요 플레이리스트,"국내음악, 탑백, 설거지, 오늘의선곡, 맑은날, 밝은, 여행, TOP100, 드라이브, 신나는, 더위, 여름, 2010년대","[16, 17, 15, 15, 17, 15, 18, 16, 16, 17, 16, 11, 9, 9, 9, 13, 8, 2, 0, 1, 1]",11.476190476190476,5.884758745057298
심호흡 (Feat. chan & Hash Swan),Jayci yucca (제이씨 유카) & dnss,지친 일상에서 나에게 선물하는 잠깐의 여유,"20대, R&B/소울, 봄, 기분전환, 2020년대","[16, 16, 15, 14, 14, 2, 5]",11.714285714285714,5.310751512983173
십이월 이십오일의 고백,정승환,차가운 겨울마저 사랑하게 되는 겨울 찰떡 플레이리스트,"편안한, 발라드, 기분전환, 새벽, 국내음악, 잔잔한, 출/퇴근길, ralalra, 겨울, 드라이브, 2010년대, 감성","[16, 16, 16, 17, 15, 16, 11, 15, 15, 15, 15, 17, 14, 14, 6, 2, 5, 1]",12.555555555555555,5.101440125888443
싶어 (Feat. Reddy),오디오라인(Audioline),촉촉하게 감성을 간지럽히는 밤의 플레이리스트,"오늘의선곡, 2010년대, 국내음악, R&B/소울, 거리, 그루브한","[16, 15, 15, 15, 16, 15, 14, 10, 9, 2]",12.7,4.243819034784589
싸구려 커피,장기하와 얼굴들,바람은 차고 마음은 쓰릴 때 이 플레이리스트와 함께 달려보는거야..,"달리기, 국내음악, 외로움, 산책, 어두운, 2000년대","[16, 15, 14, 13, 9, 14, 2, 0]",10.375,5.764926278800103
싸운날,볼빨간사춘기,봄을 부르는 인디 TOP100,"탑백, 감성발라드, 아련한, 기분전환, 인기, 발라드, 추억, 가을","[16, 16, 15, 16, 11, 14, 17, 16, 16, 3, 14, 8, 5]",12.846153846153847,4.469488937333523
싸이렌,부가킹즈 (Buga Kingz),지금은 레트로가 대세! 응답하라 레트로!,"지니뮤직, 기분전환, 해변, 레이블 PICK, 국내음악, 출/퇴근길, 오후, 가요","[16, 16, 16, 15, 15, 15, 14, 17, 16, 16, 8, 14, 6, 5, 0, 0, 1]",11.176470588235293,6.128384242653649
써니데이 (Feat. nafla),기리보이,매마른 분위기를 전환시켜주는 감성자극 힙합&알앤비,"봄, 집, 그루브한, 드라이브, 랩/힙합, 오늘의선곡","[17, 15, 15, 16, 15, 16, 15, 16, 13, 9, 14, 1]",13.5,4.252450274057691
썸데이,김동희,놀면뭐하니 MSG워너비 블라인드오디션 53곡,"발라드추천곡, 놀면뭐하니노래, 발라드, 놀면뭐하니","[11, 10, 19, 9]",12.25,3.960744879438715
썸데이 (싱글파파는 열애중 OST 삽입곡),김동희,추억이 새록새록 떠오르는 싸이월드 BGM,"노래방, msg워너비, 가을, 유야호, 30대, 20대, 싸이월드, 10대, 00년대, 발라드, 브금","[11, 14, 13, 11, 10, 5, 4, 0, 2, 2, 1]",6.636363636363637,4.977635935274117
썸타 (Acoustic Ver.) (Feat. 첸 (CHEN) of EXO),바이브,바이브의 '유독 애정하는 바이브의 노래들',"가을, 가요, 발라드, 지침/힘듦, 애절한","[11, 14, 14, 11, 12, 0, 2]",9.142857142857142,5.303060340934453
"쏘리 쏘리 (Sorry, Sorry)",SUPER JUNIOR (슈퍼주니어),2000년대 인기가요 띵곡 모음,"케이팝, kpop, 아이돌노래, 기분전환, 2000년대에서2015년까지, 노동요, 2000년대, 흥겨운","[16, 16, 18, 14, 10, 13, 14, 14, 2, 9, 0, 5, 1]",10.153846153846153,5.972322751932822
쏘쏘,백아연,"포근하고 달달한 봄 느낌 가득, 국내 봄 노래 모음 ✿","산책, 산뜻한, 국내, 피크닉, 달달한","[15, 14, 3, 3, 0]",7.0,6.2289646009589745
아.미.고 (Amigo),SHINee (샤이니),2000년대 인기가요 띵곡 모음,"kpop, 운동, 케이팝, 기분전환","[16, 16, 13, 18, 13, 14, 5, 1]",12.0,5.522680508593631
아가씨,수진,언제 들어도 신이 나! 기분전환에 제격인 K-POP,"가을, 운동, 아이돌, 기분전환, 드라이브","[16, 16, 17, 14, 13, 14, 14, 5, 1]",12.222222222222221,5.159194118330622
아가씨2 (阿哥氏),뮤지,드라이브에 딱! 레트로 감성 시티팝 뮤직,"오늘의선곡, 기분전환, 밝은, 밤, 몽환적인, R&B/소울, 저녁","[16, 16, 15, 15, 16, 14, 14, 14, 9, 14, 5, 2]",12.5,4.444097208657794
아까워,Jazzyfact,추억이 새록새록 떠오르는 싸이월드 BGM,"20대, 싸이월드, 추억, 브금","[15, 5, 2, 2, 1]",5.0,5.176871642217914
아놔,THAMA,바람 타고 온 그루브한 플레이리스트,"2020년대, 따뜻한, 랩/힙합, 행복, 그루브한, 2010년대, 가을, 산책","[14, 14, 16, 14, 15, 16, 17, 13, 14, 2]",13.5,4.006245124802026
아드레날린 (Adrenaline),소녀시대-태티서 (Girls' Generation-TTS),신나는 노래로 기분 UP! 스트레스 날려주는 흥폭발 여름 노래,"드라이브, 매장음악, 기분전환, 여름, 청량","[16, 16, 16, 17, 16, 16, 13, 14, 5, 0, 1]",11.818181818181818,6.205835696682186
아득한 별,스무살,고요하게 여운을 남기는 발라드,"오늘의선곡, 발라드, 휴식, 밤, 잔잔한, 흐린날, 국내음악","[16, 15, 15, 17, 16, 15, 11, 16, 15, 9]",14.5,2.3769728648009427
아로하,조정석,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"슬기로운의사생활2, TOP100, 슬기로운의사생활, 청춘, 탑백, 두근두근, 메디컬드라마, 숨은명곡, 슬의생, 설레는, 차트, 일상, 역주행, 트렌드, 회상","[17, 16, 14, 13, 16, 16, 17, 16, 9, 14, 11, 11, 11, 13, 2, 8, 6, 1, 2, 1, 3, 0]",9.863636363636363,5.856584907338021
아로하,쿨 (COOL),[가요] 이 노래 ㄱ나니?,"랩/힙합, 발라드, 90년대, 오늘의선곡, 2000년대, 명곡, 1990년대, 휴식, 유야호, TODAY PICK, 추억, 놀면뭐하니, R&B/소울, 보컬그룹","[15, 15, 15, 16, 11, 14, 16, 14, 13, 9, 14, 7, 5, 0, 2]",11.066666666666666,5.078932521264243
아른,UZA&SHANE,드라이브에 딱! 레트로 감성 시티팝 뮤직,"드라이브, 기분전환, 저녁, 흐린날, 국내음악, 그루브한","[16, 16, 16, 17, 17, 15, 16, 15, 14, 14, 5, 1]",13.5,4.856267428111155
아름다운 것,언니네 이발관,혼자 느긋하게 걷기 좋은 초여름 문턱에서,"가요, TODAY PICK, 집, 드라이브, 휴식, 락/메탈, 오늘의선곡, 트레블리스트, 추억, 휴가/여행, 시원한, 오후","[17, 15, 15, 15, 16, 16, 16, 14, 15, 16, 14, 13, 11, 12, 9, 2, 0, 0, 1]",11.421052631578947,5.83380159049225
아름다운 구속,김종서,에너지 넘치는 2000년대 록 음악 플레이리스트,"국내음악, 힘찬, 2000년대, 드라이브, 출/퇴근길, 운동","[16, 17, 15, 15, 15, 13, 6, 2, 2, 1]",10.2,6.273754856543249
아름다운 날들,브라운 아이드 소울,매년 가을이면 떠오르는 아련한 감성의 Music ♪,"가을, OST, 추억, 기분전환, 감성발라드","[16, 16, 15, 16, 11, 14, 14, 5]",13.375,3.5333235062756425
아름다운 날들,장혜진,추천 ♬ 리뉴얼 준비중♪ No.00,"기분전환, 이별, 스토리가_있는_노래, 추억, 감성, 노랫말을듣는다, 회상","[16, 16, 15, 16, 13, 7, 10, 6, 14, 1, 5, 1, 0]",9.23076923076923,5.963399213327479
아름다운 날들이여 사랑스런 눈동자여,코나,추천 ♬ 잊혀질리 없는 명품 발라드 ♪ No.23,"이별, 추억, 노랫말을듣는다, 발라드, 명품","[15, 11, 7, 5, 6, 1]",7.5,4.4628092796652945
아름다운 밤,울랄라세션,신나는 노래로 기분 UP! 스트레스 날려주는 흥폭발 여름 노래,"매장음악, 운동, 신나는, 댄스, 신나는노래","[16, 18, 18, 13, 16, 10, 1]",13.142857142857142,5.617029500382142
아름다운 밤이야,비스트,신나는 노래로 기분 UP! 스트레스 날려주는 흥폭발 여름 노래,"봄, 여행, 노래방, 댄스, 아이돌, 00년대, 운동, 추억","[15, 16, 18, 13, 15, 11, 10, 14, 2, 0, 1]",10.454545454545455,6.169774363984419
아름다운 색,IZ*ONE (아이즈원),활기찬 에너지 뿜뿜! 걸그룹 플레이리스트,"운동, 아이돌, 기분전환, 댄스","[16, 16, 18, 13, 14, 14, 5, 1]",12.125,5.555121510822243
아름다워,윤수일밴드,달리면서 듣는 적당한 템포의 국내 원조 시티팝 플레이리스트,"운동, 기분전환, 헬스, 달리기","[16, 16, 13, 14, 13, 14, 5, 0]",11.375,5.383713866839507
아름답고도 아프구나,비투비,잔잔하게 반짝이는 아이돌 발라드 음악,"발라드, 새벽, 편안한, 추억, 비오는날, 국내음악, 감성, 가을, 휴식, 추운날, 좋아요10만, 오늘의선곡","[16, 15, 15, 17, 15, 16, 15, 16, 11, 15, 14, 14, 13, 9]",14.357142857142858,2.056597149841138
아름답던 별들의 밤,KCM,지칠 때 힘이 되는 감성 발라드,"스페셜추천, 겨울, 따뜻한, 출/퇴근길, 국내음악, 2020년대, 워너뮤직","[16, 15, 15, 15, 17, 16, 14, 19, 16, 6, 2, 6, 0]",12.076923076923077,6.00591424490558
아리랑,SG 워너비,명불허전 국민가수 SG 워너비의 필청 트랙!,"예능, 놀면뭐하니, 놀면뭐하니오디션곡, 국민가수, 명곡, 발라드그룹, 오디션, 유야호","[11, 14, 9, 2, 5, 2, 0, 0, 0]",4.777777777777778,5.0061690338083595
아마 늦은 여름이었을 거야,산울림,바람은 차고 마음은 쓰릴 때 이 플레이리스트와 함께 달려보는거야..,"2000년대, 락/메탈, 애절한, 가요, 외로움, 90년대","[14, 9, 13, 12, 0, 2]",8.333333333333334,5.436502143433364
아마도 그건,Crush & 로꼬,그 시절 띵곡을 재해석한 리메이크 모음,"국내음악, 맑은날, 집, 오늘의선곡, 그리움, 2010년대, 편안한, 30대","[16, 15, 15, 17, 15, 16, 15, 9, 9, 2]",12.9,4.504442251822083
아마도 그건,홍민정,추억이 새록새록 떠오르는 싸이월드 BGM,"추억, 10대, 도입부, bgm, 리메이크, MP3, 브금, 00년대","[15, 15, 11, 5, 2, 1]",8.166666666666666,5.785518319236594
"아마도 별 U (Feat. Ali, 썸데이 주영)",흘러,추억이 새록새록 떠오르는 싸이월드 BGM,"추억의, 30대, 20대, 브금","[15, 5, 2]",7.333333333333333,5.557777333511022
아마도 사랑인가 봐,Young K (DAY6),듣기만 해도 연애하고 싶어지는 달달한 사랑 노래,"사랑, 기분좋은, 힐링, 잔잔한, 설렘","[16, 15, 12, 17, 14, 13]",14.5,1.707825127659933
"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"TOP100, 차트, 도입부, 탑백","[17, 16, 16, 15, 8]",14.4,3.2619012860600183
아마추어,윤종신 & 장재인 (JEIN),드라이브에 딱! 레트로 감성 시티팝 뮤직,"2010년대, R&B/소울, 드라이브, 몽환적인, 밤, 오늘의선곡","[17, 15, 15, 16, 14, 14, 9, 2, 2, 1]",10.5,6.119640512317697
아메리카노,10CM,추억이 새록새록 떠오르는 싸이월드 BGM,"브금, 30대, 싸이월드, bgm","[5, 2, 2, 1]",2.5,1.5
아무것도 몰랐군,권나무,박소은의 '색이 바랜 감정을 위로하는 음악',"따뜻한, 휴식, 외로움, 인디, 흐린날","[17, 16, 14, 12, 9]",13.6,2.870540018881465
아무것도 아니야 (Feat. 스페이스 카우보이),뮤지,도심 속 여름 냄새나는 플레이리스트,"시원한, 인디, 밤, 국내음악, 가요, 출/퇴근길","[16, 15, 15, 15, 14, 16, 12, 11, 6, 2]",12.2,4.467661580737736
아무노래,지코 (ZICO),○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"좋아요10만, 탑백, 차트, 추억","[15, 17, 16, 16, 8]",14.4,3.2619012860600183
아무도 모른다 (Inst.),토이 (Toy),"녹아내릴 듯, 편안하고도 따스한 연주곡","저녁, 편안한, 밤, 국내음악, 휴식, 눈오는날, 겨울, 추운날","[16, 17, 16, 15, 15, 16, 17, 14, 10]",15.11111111111111,2.0245407953653998
아무렇지 않은 사람,카더가든,마음이 쉬고 싶을 때 듣는 위로의 노래,"드라이브, 산책, 기분전환, 그루브한, 2020년대, 외로움, 가을, TODAY PICK, 슬픔, 휴식","[16, 16, 17, 16, 14, 14, 16, 15, 8, 9, 14, 2, 5, 1]",11.642857142857142,5.366658216074811
아무리 생각해도 난 너를,스윗소로우 (SWEET SORROW),놀면뭐하니 MSG워너비 블라인드오디션 53곡,"쓸쓸한, OST, 추억, 노래방, 발라드추천곡, 놀면뭐하니노래, 명곡, 감성, bgm, 기분전환, 드라이브, 싸이월드","[16, 16, 17, 15, 16, 11, 14, 11, 10, 19, 9, 14, 3, 5, 2, 1]",11.1875,5.558987655140098
아무일도 없었다,정엽,싸이월드 세대들의 추억의 발라드 BGM 100곡,"새벽, 밤, 발라드, 레트로","[11, 16, 14]",13.666666666666666,2.0548046676563256
아빠 힘 내세요,핑크키즈,엣헴~엣헴 신이나는 키즈 음악 플레이리스트,"오늘의선곡, 동요, 집, 기쁨, 밝은, 맑은날, 국내음악","[16, 15, 15, 17, 15, 16, 10, 9, 14, 0]",12.7,4.8999999999999995
아쉬움,신촌 블루스,바람은 차고 마음은 쓰릴 때 이 플레이리스트와 함께 달려보는거야..,"가요, 헬스, 외로움, 국내음악, 달리기, 애절한","[16, 15, 14, 14, 13, 9, 14, 0, 0]",10.555555555555555,5.92754607482184
아스피린 (Eve Ver.),이브 (Eve),에너지 넘치는 2000년대 록 음악 플레이리스트,"드라이브, 자전거, 운동, 헬스, 국내음악, 기분전환","[16, 16, 16, 17, 15, 13, 14, 17, 14, 5, 1]",13.090909090909092,4.980955466110081
아에이오우 어 ?!,Soul Company,추억이 새록새록 떠오르는 싸이월드 BGM,"싸이월드, 10대, 추억, bgm","[15, 2, 2, 1]",5.0,5.787918451395113
아이스크림,JOO,추억이 새록새록 떠오르는 싸이월드 BGM,"30대, 추억, 20대, 브금","[15, 5, 2]",7.333333333333333,5.557777333511022
아이스크림,MC몽,추억이 새록새록 떠오르는 싸이월드 BGM,"싸이월드, 드라이브, 발라드, 10대, 20대, 브금, 노래방, 30대","[17, 11, 11, 10, 5, 2, 2, 1]",7.375,5.360445410597892
아이와 나의 바다,아이유,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"여름밤, ralalra, 산책, 감성, 위로, 추억, 발라드, 겨울, 탑백, 회상","[15, 16, 11, 14, 16, 16, 17, 17, 13, 16, 9, 8, 5, 1, 0, 0]",10.875,6.081478027585071
아이처럼,김동률,싸이월드 bgm 인기곡 차트를 휩쓴 추억의 노래들 (2005~2010),"쓸쓸한, bgm, 노동요, OST, 추억, 미니홈피, 명곡, 발라드","[15, 11, 14, 14, 9, 3, 6, 6, 3, 0]",8.1,5.028916384272064
아저씨 (Feat. 제이레빗),김진표,추억이 새록새록 떠오르는 싸이월드 BGM,"추억의, 10대, 싸이월드, 브금","[15, 5, 2, 2, 1]",5.0,5.176871642217914
